               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.073847,            0.013876,           0.0038079,             0.32752,             0.53125,             0.25493,            0.054849,            0.083825,            0.012059,           0.0025814,            0.007525,            0.007525,            0.007525
                 127,            0.083269,            0.012251,           0.0033519,             0.31853,              0.5625,             0.33781,             0.13115,            0.081085,            0.012357,           0.0026165,           0.0075052,           0.0075052,           0.0075052
                 128,            0.074369,             0.01617,           0.0040356,             0.31853,              0.5625,             0.33781,             0.13115,            0.081085,            0.012357,           0.0026165,           0.0074854,           0.0074854,           0.0074854
                 129,            0.082135,            0.016555,           0.0038645,             0.31853,              0.5625,             0.33781,             0.13115,            0.081085,            0.012357,           0.0026165,           0.0074656,           0.0074656,           0.0074656
                 130,            0.081331,            0.020612,           0.0038134,             0.31853,              0.5625,             0.33781,             0.13115,            0.081085,            0.012357,           0.0026165,           0.0074458,           0.0074458,           0.0074458
                 131,            0.075586,            0.013241,           0.0042121,             0.11178,              0.3658,            0.060686,            0.020024,            0.078771,            0.012649,           0.0025029,            0.007426,            0.007426,            0.007426
                 132,            0.092151,            0.010957,           0.0027163,             0.11178,              0.3658,            0.060686,            0.020024,            0.078771,            0.012649,           0.0025029,           0.0074062,           0.0074062,           0.0074062
                 133,            0.077474,           0.0097915,            0.003187,             0.11178,              0.3658,            0.060686,            0.020024,            0.078771,            0.012649,           0.0025029,           0.0073864,           0.0073864,           0.0073864
                 134,            0.080395,            0.014323,           0.0031186,             0.11178,              0.3658,            0.060686,            0.020024,            0.078771,            0.012649,           0.0025029,           0.0073666,           0.0073666,           0.0073666
                 135,             0.07982,            0.014612,             0.00391,              0.2094,              0.5625,             0.15959,            0.050317,            0.072028,            0.012524,            0.002368,           0.0073468,           0.0073468,           0.0073468
                 136,            0.069192,            0.018582,            0.003532,              0.2094,              0.5625,             0.15959,            0.050317,            0.072028,            0.012524,            0.002368,            0.007327,            0.007327,            0.007327
                 137,             0.07291,            0.015283,           0.0029923,              0.2094,              0.5625,             0.15959,            0.050317,            0.072028,            0.012524,            0.002368,           0.0073072,           0.0073072,           0.0073072
                 138,            0.069739,             0.01314,           0.0034202,              0.2094,              0.5625,             0.15959,            0.050317,            0.072028,            0.012524,            0.002368,           0.0072874,           0.0072874,           0.0072874
                 139,            0.071556,            0.013841,           0.0028864,             0.36035,               0.625,             0.26887,            0.073345,              0.0682,            0.012078,            0.002254,           0.0072676,           0.0072676,           0.0072676
                 140,              0.0729,            0.015443,           0.0032417,             0.36035,               0.625,             0.26887,            0.073345,              0.0682,            0.012078,            0.002254,           0.0072478,           0.0072478,           0.0072478
                 141,            0.072052,            0.013763,           0.0035239,             0.36035,               0.625,             0.26887,            0.073345,              0.0682,            0.012078,            0.002254,            0.007228,            0.007228,            0.007228
                 142,            0.067941,            0.016364,           0.0036601,             0.36035,               0.625,             0.26887,            0.073345,              0.0682,            0.012078,            0.002254,           0.0072082,           0.0072082,           0.0072082
                 143,            0.071454,            0.013838,           0.0034446,             0.42092,             0.59375,             0.40059,             0.14351,            0.071583,            0.011515,            0.002073,           0.0071884,           0.0071884,           0.0071884
                 144,            0.064166,            0.019334,           0.0032752,             0.42092,             0.59375,             0.40059,             0.14351,            0.071583,            0.011515,            0.002073,           0.0071686,           0.0071686,           0.0071686
                 145,            0.067998,            0.011731,           0.0041408,             0.42092,             0.59375,             0.40059,             0.14351,            0.071583,            0.011515,            0.002073,           0.0071488,           0.0071488,           0.0071488
                 146,            0.070777,            0.017667,           0.0031293,             0.42092,             0.59375,             0.40059,             0.14351,            0.071583,            0.011515,            0.002073,            0.007129,            0.007129,            0.007129
                 147,            0.068704,            0.015541,           0.0028044,              0.5552,             0.58527,             0.46182,              0.1396,            0.067589,            0.011679,           0.0022083,           0.0071092,           0.0071092,           0.0071092
                 148,            0.066392,             0.01146,           0.0036034,              0.5552,             0.58527,             0.46182,              0.1396,            0.067589,            0.011679,           0.0022083,           0.0070894,           0.0070894,           0.0070894
                 149,            0.066371,            0.013843,            0.003548,              0.5552,             0.58527,             0.46182,              0.1396,            0.067589,            0.011679,           0.0022083,           0.0070696,           0.0070696,           0.0070696
                 150,            0.073605,            0.017507,           0.0030241,              0.5552,             0.58527,             0.46182,              0.1396,            0.067589,            0.011679,           0.0022083,           0.0070498,           0.0070498,           0.0070498
                 151,            0.069909,            0.017712,           0.0035623,             0.55305,             0.58024,             0.47484,             0.16475,            0.061734,            0.011797,           0.0020526,             0.00703,             0.00703,             0.00703
                 152,            0.062142,            0.014456,           0.0038688,             0.55305,             0.58024,             0.47484,             0.16475,            0.061734,            0.011797,           0.0020526,           0.0070102,           0.0070102,           0.0070102
